COMMON_NAME,SCIENTIFIC_NAME,DESCRIPTION,IMAGE_URL,
Australian Magpie,Gymnorhina tibicen,"Magpies are one of Australia's most highly-regarded songbirds. They have a wide variety of calls, many of which are complex, and their pitch may vary over up to four octaves. The Australian Magpie is black and white, but the plumage pattern varies across its range. Its nape, upper tail and shoulder are white in males, grey in females. Across most of Australia, the remainder of the body is black. In the south-east, centre, extreme south-west and Tasmania, the back and rump are entirely white. The eye of adult birds is chestnut brown.",https://fieldofmar-e.schools.nsw.gov.au/content/dam/doe/sws/schools/f/fieldofmar-e/image/B74EE0AA-0529-4F4A-A21E-F3CCA1BA1752.jpeg.thumb.1280.1280.jpg,
Australian White Ibis,Threskiornis molucca,"Some Australian White Ibis populations have learnt to exploit artificial foods in urban environments and are becoming pests. However, although Australian White Ibises are becoming more common in some areas, their abundance is decreasing in their natural range. The Australian White Ibis is identified by its almost entirely white body plumage and black head and neck. The head is featherless and its black bill is long and down-curved. During the breeding season the small patch of skin on the under-surface of the wing changes from dull pink to dark scarlet. Adult birds have a tuft of cream plumes on the base of the neck. Females differ from males by being slightly smaller, with shorter bills. Young birds are similar to adults, but have the neck covered with black feathers. In flight, flocks of Australian White Ibis form distinctive V-shaped flight patterns. Another common name for this bird is Sacred Ibis, but this more appropriately refers to a closely related African species. Some Australian White Ibis populations have learnt to exploit artificial foods in urban environments and are becoming pests. However, although Australian White Ibises are becoming more common in some areas, their abundance is decreasing in their natural range. The Australian White Ibis is identified by its almost entirely white body plumage and black head and neck. The head is featherless and its black bill is long and down-curved. During the breeding season the small patch of skin on the under-surface of the wing changes from dull pink to dark scarlet. Adult birds have a tuft of cream plumes on the base of the neck. In flight, flocks of Australian White Ibis form distinctive V-shaped flight patterns. Another common name for this bird is Sacred Ibis, but this more appropriately refers to a closely related African species.",https://www.australiangeographic.com.au/wp-content/uploads/2018/06/white-ibis.jpg,
Chestnut Teal,Anas castanea,"The Chestnut Teal is a small dabbling duck with a high forehead and rounded head. Males are distinctive, having a glossy green head, chestnut brown neck, breast and flanks, dark brown upper body and wings, and a black undertail with contrasting white patch. Females are mottled dark brown and grey, with a pale throat streaked brown and a dark eye stripe. In both sexes the eye is a deep red, the bill is blue-grey and the legs and feet are green-grey. The wings have a dark glossy green to purple speculum (panel) edged white and the underwing is brown, with white wing pits. The Chestnut Teal is found on wetlands and estuaries in coastal regions, and is one of the few ducks able to tolerate high salinity waters, although it still needs fresh water for drinking.",https://birdssa.asn.au/wp-content/uploads/White-Ibis-Kevin-Williams.png,
Common Blackbird,Turdus merula,"The Common Blackbird is most often found in urban areas and surrounding localities, but has successfully moved into bushland habitats. It is often seen in orchards, vineyards and gardens, as well as along roadsides and in parks. The Common Blackbird is most often found in urban areas and surrounding localities, but has successfully moved into bushland habitats. It is often seen in orchards, vineyards and gardens, as well as along roadsides and in parks.
",https://www.centennialparklands.com.au/getmedia/ba6160cb-5f54-42e9-bf23-f4ede8f437ad/Chestnut-Teal-190921.jpg,
Common Myna,Acridotheres tristis,"The Common Myna's success is mostly a result of its opportunistic behaviour and aggressiveness towards other species, bullying them around food sources and out competing them for nesting sites. The Common Myna is brown with a black head. It has a yellow bill, legs and bare eye skin. In flight it shows large white wing patches. The Common Myna is closely associated with human habitation. In the evening, large groups of Common Mynas gather in communal roosts, mainly in the non-breeding season, in roof voids, bridges, and large trees, and numbers can reach up to several thousands.
",https://en.wikipedia.org/wiki/File:Acridotheres_tristis00.jpg,
Common Starling,Sturnus vulgaris,"Flocks of Common Starlings are often seen at dusk wheeling in large circles as they search for a roosting site for the night. Once a common bird of European deciduous woodlands (now in more rural and urban areas), the Common Starling was introduced into Australia in the late 1850s through to 1870. It has become well established and is expanding its range. The Common Starling has a wide variation in plumage. 
",https://media.australian.museum/media/dd/images/common_starling.43d0693.width-1200.3836d03.jpg,
Dusky Moorhen,Gallinula tenebrosa,"The Dusky Moorhen is a medium-sized, dark grey-black water bird with a white undertail. It has a red bill with a yellow tip and a red facial shield. Young birds are much duller and browner than adults, with a greenish bill and face shield.",https://nzbirdsonline.org.nz/sites/all/files/dusky%20moorhen%20%289%29.jpg,
Eastern Great Egret,Ardea modesta,"The Great Egret's overall plumage is white, and, for most of the year, the bill and facial skin are yellow. The feet are dark olive-grey or sooty black, as are the legs. Great Egrets prefer shallow water, particularly when flowing, but may be seen on any watered area, including damp grasslands. Great Egrets can be seen alone or in small flocks, often with other egret species, and roost at night in groups.",https://www.australiangeographic.com.au/wp-content/uploads/2021/01/R57JDF-1800x1800.jpg,
Little Pied Cormorant,Microcarbo melanoleucos,"The Little Pied Cormorant is entirely black above and white below. The face is dusky and, in adult birds, the white of the underside extends to above the eye. Immature birds resemble the adults except there is no white above the eye. The Little Pied Cormorant is at home in either fresh or salt water. It is often seen in large flocks on open waterways and on the coast, especially where large numbers of fish are present. ",https://parksaustralia.gov.au/booderee/files/discover/birds/little-pied-cormorant-credit-richard-ashurst.jpg,
Little Raven,Corvus mellori,"The little raven is a species of the family Corvidae that is native to southeastern Australia. The calls of corvids are perhaps the best method for identifying them in the field. They all have different calls, although recognising them obviously requires a great deal of experience. Little Ravens, like other corvids, are omnivorous but are strongly insectivorous. They also take carrion (such as road killed animals) and refuse.",http://t2.gstatic.com/licensed-image?q=tbn:ANd9GcRXSsGrUgJWSxvnB5ov3TkcohWH7BzsbPgcQ488Ipng_quQT4ZRX-LL3s8ldajpnHjgv9bqTehU9toTfh0,
